#version, mean, sd, min, max
"305_757_275_1122" 335.1 1.1445523142259568 334 338 
"306_757_275_1124" 333.135 0.34172357249683544 333 334 
"307_757_275_1125" 334.005 0.07053367989832943 334 335 
"308_758_275_1125" 334.97 0.9995498987044131 334 336 
"309_758_275_1127" 336.19 1.8798670165732483 332 339 
"310_758_275_1128" 212.09 0.4146082488325563 212 214 
"312_758_275_1130" 336.37 1.1104503590885977 335 338 
"313_758_275_1131" 339.73 1.3103816238027792 338 342 
"314_759_275_1131" 334.85 0.8529361054615987 334 336 
"315_760_275_1131" 335.75 1.16081867662439 335 338 
"317_762_275_1131" 332.48 1.099818166789402 332 335 
"318_762_275_1132" 335.01 0.999949998749939 334 336 
"320_764_275_1134" 332.76 1.180000000000001 332 336 
"321_764_275_1135" 335.01 0.999949998749939 334 336 
"328_764_275_1145" 334.23 1.06164965972773 333 336 
"329_764_275_1146" 210 1 209 211 

"331_764_275_1151" 212.99 0.999949998749939 212 214 
"332_764_275_1153" 211 1 210 212 
"333_765_275_1153" 337.065 2.039797784095278 334 341 
"334_765_276_1154" 335.43 0.7246378405796905 335 338 
"335_765_276_1155" 334.19 0.5691221310052873 334 336 
"336_765_276_1156" 334 0 334 334 
"337_765_276_1157" 335.83 0.6173329733620264 335 338 
"338_766_276_1157" 334.16 0.9769339793455838 333 336 
"339_766_278_1157" 333.01 0.999949998749939 332 334 
"340_766_278_1158" 83 0 83 83 
"341_766_278_1159" 334.655 1.3213534727694942 333 337 
"342_766_278_1161" 212.755 0.8276321646722036 212 214 
"343_767_278_1161" 213.24 1.277654100294754 211 215 
"344_767_278_1162" 333.08 0.3919183588453085 333 335 
"345_767_278_1163" 334.98 0.9997999799960015 334 336 
"346_768_278_1163" 333.185 0.8067062662456524 332 334 
"347_769_278_1163" 333.51 1.113507970335194 332 335 
"348_769_278_1164" 335 0 335 335 
"349_769_279_1164" 335.26 1.0781465577554858 334 337 
"350_770_279_1164" 333.97 0.9995498987044131 333 335 
"351_770_279_1167" 333.515 1.1089522081676924 332 335 
"352_770_279_1168" 211.11 1.2238872497088928 210 213 
"354_771_279_1168" 193 0 193 193 
"355_772_279_1168" 214.16 0.9871170143402445 213 215 
"356_772_280_1168" 332.99 0.999949998749939 332 334 
"357_772_280_1170" 334.08 0.3919183588453078 334 336 
"358_772_280_1171" 336.04 0.9991996797437421 335 337 
"359_772_280_1172" 210.12 0.4749736834815174 210 212 
"362_779_281_1178" 102 0 102 102 
"364_781_281_1178" 335.17 1.3004230081015942 334 338 
"367_782_283_1180" 210.505 0.4999749993749695 210 211 
"368_782_283_1181" 213.99 0.999949998749939 213 215 
"369_783_283_1181" 334.99 0.999949998749939 334 336 
"370_783_283_1182" 336.11 1.1436345570154829 335 339 
"371_783_283_1183" 333.38 0.9249864863877715 332 334 

"374_785_283_1186" 83 0 83 83 
"375_785_283_1187" 335.66 1.021958903283295 335 339 
"376_786_283_1187" 336.17 0.37563279941985883 336 337 
"378_787_283_1187" 84 0 84 84 
"380_789_283_1187" 84 0 84 84 
"381_790_283_1187" 214 1 213 215 
"382_791_283_1187" 327 0 327 327 
"383_791_283_1188" 203.41 0.6941901756723431 203 206 
"384_791_283_1189" 327 0 327 327 
"386_791_284_1189" 203.255 0.4358612164439507 203 204 
"387_791_284_1192" 205 0 205 205 
"389_791_284_1194" 76 0 76 76 
"392_794_284_1194" 204.5 0.8660254037844386 204 206 
"393_794_284_1196" 326 0 326 326 
"396_794_284_1198" 330.675 0.8481597726843696 330 332 


"400_795_285_1200" 209.44 1.3624977064200896 208 213 
"401_795_286_1200" 328 0 328 328 
"402_795_286_1202" 77 0 77 77 
"403_795_286_1203" 79 0 79 79 
"404_795_286_1204" 328 0 328 328 
